link_id,name,from_node_id,to_node_id,length,geometry,link_type,dir_flag,lanes,free_speed,capacity
10023734,45,10004533,10004473,0.409318629,"LINESTRING (-111.70123240000001 33.41381305, -111.7020403 33.41019426)",transit,1,1,65,1900
10023735,45,10004473,10007838,0.1828528,"LINESTRING (-111.7020403 33.41019426, -111.70253729999999 33.40860302)",transit,1,1,65,1900
10023736,45,10007838,10004624,0.76121187,"LINESTRING (-111.70253729999999 33.40860302, -111.7107381 33.40860101)",transit,1,1,65,1900
10023737,45,10004624,10004653,0.411217274,"LINESTRING (-111.7107381 33.40860101, -111.71516729999999 33.40852304)",transit,1,1,65,1900
10023738,45,10004653,10004634,0.411762241,"LINESTRING (-111.71516729999999 33.40852304, -111.7196033 33.40850487)",transit,1,1,65,1900
10023739,45,10004634,10004648,0.493218778,"LINESTRING (-111.7196033 33.40850487, -111.72491670000001 33.4084654)",transit,1,1,65,1900
10023740,45,10004648,10004622,0.283500793,"LINESTRING (-111.72491670000001 33.4084654, -111.7279709 33.40845116)",transit,1,1,65,1900
10023741,45,10004622,10004647,0.393575596,"LINESTRING (-111.7279709 33.40845116, -111.73221090000001 33.40842466)",transit,1,1,65,1900
10023742,45,10004647,10004633,0.485873374,"LINESTRING (-111.73221090000001 33.40842466, -111.737445 33.40847688)",transit,1,1,65,1900
10023743,45,10004633,10004660,0.360017962,"LINESTRING (-111.737445 33.40847688, -111.7413229 33.40841573)",transit,1,1,65,1900
10023744,45,10004660,10004644,0.173245213,"LINESTRING (-111.7413229 33.40841573, -111.74318889999999 33.40838242)",transit,1,1,65,1900
10023745,45,10004644,10004641,0.498223768,"LINESTRING (-111.74318889999999 33.40838242, -111.7485564 33.40836901)",transit,1,1,65,1900
10023746,45,10004641,10004654,0.540913236,"LINESTRING (-111.7485564 33.40836901, -111.7543838 33.40835331)",transit,1,1,65,1900
10023747,45,10004654,10004599,0.367534397,"LINESTRING (-111.7543838 33.40835331, -111.75834329999999 33.40833449)",transit,1,1,65,1900
10023748,45,10004599,10004612,0.612093636,"LINESTRING (-111.75834329999999 33.40833449, -111.7649375 33.40830799)",transit,1,1,65,1900
10023749,45,10004612,10004639,0.597243007,"LINESTRING (-111.7649375 33.40830799, -111.7713716 33.40826743)",transit,1,1,65,1900
10023750,45,10004639,10004657,0.29028493,"LINESTRING (-111.7713716 33.40826743, -111.77449890000001 33.40825632)",transit,1,1,65,1900
10023751,45,10004657,10004607,0.522487122,"LINESTRING (-111.77449890000001 33.40825632, -111.78012779999999 33.40824628)",transit,1,1,65,1900
10023752,45,10004607,10004628,0.395146432,"LINESTRING (-111.78012779999999 33.40824628, -111.7843848 33.40823245)",transit,1,1,65,1900
10023753,45,10004628,10002550,0.346468663,"LINESTRING (-111.7843848 33.40823245, -111.7881115 33.4084078)",transit,1,1,65,1900
10023754,45,10002550,10002549,0.32693329,"LINESTRING (-111.7881115 33.4084078, -111.78810770000001 33.41134798)",transit,1,1,65,1900
10023755,45,10002549,10002231,0.466682011,"LINESTRING (-111.78810770000001 33.41134798, -111.790523 33.415029)",transit,1,1,65,1900
